scenario_a,t,region,DEV_ch_sl_kW
2,24,1,129.527290
2,24,2,197.139185
2,24,3,213.618360
3,1,1,181.732560
3,1,2,155.195892
3,1,3,163.709476
3,2,1,196.701556
3,2,2,185.158910
3,2,3,166.720058
3,3,1,167.691030
3,3,2,226.867833
3,3,3,263.777030
3,4,1,176.418111
3,4,2,147.164773
3,4,3,178.679618
3,5,1,159.256957
3,5,2,156.413868
3,5,3,263.644029
3,6,1,171.713148
3,6,2,153.833774
3,6,3,204.474268
3,7,1,198.401953
3,7,2,109.185855
3,7,3,230.714275
3,8,1,189.816373
3,8,2,159.428194
3,8,3,276.943876
3,9,1,94.953000
3,9,2,117.861278
3,9,3,166.703890
3,10,1,136.272832
3,10,2,143.867811
3,10,3,192.054309
3,11,1,110.119871
3,11,2,110.100484
3,11,3,107.140283
3,12,1,159.604882
3,12,2,84.264887
3,12,3,160.795129
3,13,1,151.616992
3,13,2,141.852810
3,13,3,205.014966
3,14,1,194.501138
3,14,2,142.850970
3,14,3,203.237201
3,15,1,185.720556
3,15,2,137.768377
3,15,3,260.646321
3,16,1,186.846334
3,16,2,97.204794
3,16,3,185.298640
3,17,1,136.511996
3,17,2,149.351259
3,17,3,163.079013
3,18,1,231.448757
3,18,2,158.102324
3,18,3,142.392794
3,19,1,190.168711
3,19,2,120.348204
3,19,3,124.859923
3,20,1,177.479526
3,20,2,156.220477
3,20,3,218.251571
3,21,1,160.764438
3,21,2,123.400319
3,21,3,220.869066
3,22,1,144.615451
3,22,2,174.553719
3,22,3,202.167259
3,23,1,239.789236
3,23,2,192.719972
3,23,3,273.983753
3,24,1,181.772746
3,24,2,148.575569
3,24,3,209.101111
4,1,1,130.274269
4,1,2,186.901185
4,1,3,196.649635
4,2,1,131.038203
4,2,2,154.620113
4,2,3,195.239791
4,3,1,123.379753
4,3,2,132.166798
4,3,3,190.996302
4,4,1,164.932559
4,4,2,123.009642
4,4,3,191.680018
4,5,1,156.990967
4,5,2,118.979020
4,5,3,221.827806
4,6,1,105.463700
4,6,2,133.346099
4,6,3,205.077164
4,7,1,145.170726
4,7,2,118.685208
4,7,3,138.730652
4,8,1,153.286123
4,8,2,90.472275
4,8,3,186.027211
4,9,1,152.037363
4,9,2,77.726359
4,9,3,207.643429
4,10,1,157.443842
4,10,2,79.319578
4,10,3,220.502133
4,11,1,160.756299
4,11,2,91.727113
4,11,3,143.014820
4,12,1,169.824505
4,12,2,87.447353
4,12,3,193.619670
4,13,1,186.499955
4,13,2,101.147626
4,13,3,139.429061
4,14,1,152.185413
4,14,2,103.234110
4,14,3,187.461695
4,15,1,152.124080
4,15,2,126.760209
4,15,3,152.952293
4,16,1,120.394024
4,16,2,120.749972
4,16,3,115.954528
4,17,1,120.803188
4,17,2,140.907832
4,17,3,167.879453
4,18,1,112.246441
4,18,2,115.781322
4,18,3,181.962960
4,19,1,153.018348
4,19,2,108.647130
4,19,3,187.300049
4,20,1,176.819297
4,20,2,172.899805
4,20,3,104.803800
4,21,1,138.127698
4,21,2,150.632199
4,21,3,171.641724
4,22,1,182.284546
4,22,2,126.672865
4,22,3,183.744061
4,23,1,129.555315
4,23,2,172.746314
4,23,3,211.385548
4,24,1,116.069889
4,24,2,146.229082
4,24,3,206.665819
5,1,1,231.659285
5,1,2,194.521434
5,1,3,244.121537
5,2,1,153.833094
5,2,2,171.263497
5,2,3,151.675817
5,3,1,252.532114
5,3,2,162.695103
5,3,3,212.229900
5,4,1,176.677060
5,4,2,190.053300
5,4,3,238.835686
5,5,1,127.451097
5,5,2,152.964115
5,5,3,212.323887
5,6,1,173.561451
5,6,2,151.937382
5,6,3,160.806695
5,7,1,152.297886
5,7,2,114.722971
5,7,3,246.315557
5,8,1,124.182796
5,8,2,156.855692
5,8,3,243.178252
5,9,1,158.045504
5,9,2,118.502348
5,9,3,217.722778
5,10,1,154.005233
5,10,2,128.896934
5,10,3,205.072975
5,11,1,107.893438
5,11,2,121.792486
5,11,3,155.506969
5,12,1,90.880293
5,12,2,126.906857
5,12,3,134.463012
5,13,1,142.755489
5,13,2,141.093592
5,13,3,131.248316
5,14,1,130.365372
5,14,2,178.378553
5,14,3,124.831175
5,15,1,242.259489
5,15,2,110.061370
5,15,3,228.448218
5,16,1,127.995632
5,16,2,92.278070
5,16,3,168.576230
5,17,1,130.156346
5,17,2,160.254644
5,17,3,188.777493
5,18,1,123.235280
5,18,2,127.364246
5,18,3,195.299439
5,19,1,178.917496
5,19,2,140.990086
5,19,3,171.179444
5,20,1,157.121401
5,20,2,205.157008
5,20,3,222.900898
5,21,1,191.883666
5,21,2,130.454367
5,21,3,198.783103
5,22,1,197.352017
5,22,2,139.186951
5,22,3,186.656643
5,23,1,195.306611
5,23,2,207.651513
5,23,3,182.791375
5,24,1,160.307259
5,24,2,202.703359
5,24,3,233.987181
6,1,1,157.452767
6,1,2,174.643673
6,1,3,208.501565
6,2,1,136.146878
6,2,2,145.109170
6,2,3,177.541509
6,3,1,151.966975
6,3,2,117.693980
6,3,3,197.966544
6,4,1,133.120610
6,4,2,218.590093
6,4,3,152.951228
6,5,1,139.557381
6,5,2,125.506716
6,5,3,255.101407
6,6,1,116.014197
6,6,2,101.513845
6,6,3,215.224833
6,7,1,133.299333
6,7,2,123.470053
6,7,3,150.061754
6,8,1,204.437913
6,8,2,170.690745
6,8,3,162.310732
6,9,1,140.929095
6,9,2,90.570406
6,9,3,177.940406
6,10,1,175.267445
6,10,2,77.397574
6,10,3,149.799529
6,11,1,135.665702
6,11,2,86.541991
6,11,3,100.749331
6,12,1,120.382762
6,12,2,103.027789
6,12,3,99.114388
6,13,1,142.939604
6,13,2,78.543985
6,13,3,176.772305
6,14,1,159.176149
6,14,2,144.053134
6,14,3,171.357237
6,15,1,134.194500
6,15,2,90.494753
6,15,3,227.637101
6,16,1,210.213984
6,16,2,119.136778
6,16,3,213.321254
6,17,1,133.530966
6,17,2,88.321832
6,17,3,129.925417
6,18,1,107.803357
6,18,2,143.162112
6,18,3,248.311368
6,19,1,121.500134
6,19,2,107.013848
6,19,3,180.314715
6,20,1,79.122136
6,20,2,135.583575
6,20,3,178.776747
6,21,1,137.175051
6,21,2,143.833562
6,21,3,193.296003
6,22,1,85.288906
6,22,2,136.940264
6,22,3,235.034365
6,23,1,175.239148
6,23,2,141.944537
6,23,3,180.041351
6,24,1,104.751493
6,24,2,190.664414
6,24,3,195.991291
7,1,1,169.835633
7,1,2,132.611109
7,1,3,180.086301
7,2,1,143.968625
7,2,2,157.883842
7,2,3,185.085240
7,3,1,196.959276
7,3,2,154.130766
7,3,3,201.900227
7,4,1,167.009521
7,4,2,186.667821
7,4,3,221.029825
7,5,1,248.015940
7,5,2,160.262704
7,5,3,174.647148
7,6,1,127.446550
7,6,2,159.344809
7,6,3,174.128529
7,7,1,181.621045
7,7,2,168.901508
7,7,3,220.634363
7,8,1,185.141884
7,8,2,140.860384
7,8,3,186.109959
7,9,1,172.887117
7,9,2,160.687699
7,9,3,177.522793
7,10,1,141.176939
7,10,2,112.530276
7,10,3,147.338351
7,11,1,127.100879
7,11,2,140.339616
7,11,3,140.626619
7,12,1,144.993312
7,12,2,136.447448
7,12,3,155.476672
7,13,1,134.222572
7,13,2,123.515051
7,13,3,170.336552
7,14,1,206.022201
7,14,2,142.036582
7,14,3,204.962175
7,15,1,180.821659
7,15,2,118.638110
7,15,3,233.434634
7,16,1,156.526661
7,16,2,133.246496
7,16,3,249.325819
7,17,1,115.932645
7,17,2,165.069800
7,17,3,167.877908
7,18,1,148.504919
7,18,2,89.997390
7,18,3,130.412160
7,19,1,183.240762
7,19,2,187.369530
7,19,3,163.337740
7,20,1,155.214134
7,20,2,147.494347
7,20,3,240.104484
7,21,1,140.222511
7,21,2,104.692727
7,21,3,289.301677
7,22,1,101.910000
7,22,2,141.357185
7,22,3,199.979911
7,23,1,177.561638
7,23,2,178.048637
7,23,3,274.585662
7,24,1,147.844691
7,24,2,182.264181
7,24,3,236.561997
8,1,1,106.594858
8,1,2,137.786672
8,1,3,182.793383
8,2,1,165.598068
8,2,2,122.289207
8,2,3,148.156770
8,3,1,185.339468
8,3,2,122.694097
8,3,3,199.387225
8,4,1,126.503770
8,4,2,126.317246
8,4,3,265.975379
8,5,1,117.719926
8,5,2,205.199453
8,5,3,197.523670
8,6,1,118.252907
8,6,2,140.783991
8,6,3,172.114335
8,7,1,238.652333
8,7,2,150.120466
8,7,3,205.320284
8,8,1,185.008181
8,8,2,109.246787
8,8,3,184.334288
8,9,1,175.926747
8,9,2,98.738289
8,9,3,211.171631
8,10,1,127.234838
8,10,2,69.693824
8,10,3,193.714919
8,11,1,163.115871
8,11,2,79.659759
8,11,3,161.070072
8,12,1,172.788703
8,12,2,68.046843
8,12,3,128.152810
8,13,1,132.524663
8,13,2,127.728653
8,13,3,181.721926
8,14,1,198.625995
8,14,2,120.382342
8,14,3,212.037287
8,15,1,148.474883
8,15,2,82.028910
8,15,3,166.443234
8,16,1,154.950686
8,16,2,94.400406
8,16,3,132.016820
8,17,1,120.291019
8,17,2,107.032620
8,17,3,161.749931
8,18,1,100.123453
8,18,2,167.885486
8,18,3,156.562788
8,19,1,151.142899
8,19,2,125.377732
8,19,3,179.275591
8,20,1,118.415143
8,20,2,141.402717
8,20,3,181.794941
8,21,1,140.384780
8,21,2,168.633422
8,21,3,161.502228
8,22,1,181.750228
8,22,2,139.204351
8,22,3,186.269543
8,23,1,143.217820
8,23,2,142.846926
8,23,3,299.233600
8,24,1,198.935564
8,24,2,161.295293
8,24,3,138.879999
9,1,1,178.719548
9,1,2,186.728193
9,1,3,210.255702
9,2,1,173.536866
9,2,2,188.410342
9,2,3,232.656575
9,3,1,194.939213
9,3,2,181.032938
9,3,3,189.513890
9,4,1,121.830913
9,4,2,168.606712
9,4,3,179.272338
9,5,1,201.615506
9,5,2,171.564271
9,5,3,218.802734
9,6,1,220.621256
9,6,2,119.159003
9,6,3,187.614752
9,7,1,154.677062
9,7,2,183.735990
9,7,3,142.145069
9,8,1,168.516260
9,8,2,154.131787
9,8,3,242.970121
9,9,1,140.676072
9,9,2,178.719268
9,9,3,184.799352
9,10,1,131.809985
9,10,2,116.061507
9,10,3,155.136297
9,11,1,104.524544
9,11,2,101.456243
9,11,3,97.280122
9,12,1,95.961479
9,12,2,148.698208
9,12,3,173.525190
9,13,1,172.465030
9,13,2,184.789249
9,13,3,122.210994
9,14,1,226.100664
9,14,2,134.133968
9,14,3,212.978822
9,15,1,113.924229
9,15,2,163.984347
9,15,3,138.716250
9,16,1,139.037145
9,16,2,105.566862
9,16,3,189.921035
9,17,1,171.392914
9,17,2,174.549043
9,17,3,133.269441
9,18,1,159.179949
9,18,2,157.194851
9,18,3,161.568619
9,19,1,254.642851
9,19,2,118.163687
9,19,3,215.117730
9,20,1,137.031205
9,20,2,153.874885
9,20,3,207.497918
9,21,1,207.580493
9,21,2,160.865422
9,21,3,220.812792
9,22,1,143.965872
9,22,2,123.793009
9,22,3,217.548873
9,23,1,194.176862
9,23,2,178.153471
9,23,3,232.544048
9,24,1,180.341651
9,24,2,142.184572
9,24,3,251.508438
10,1,1,204.679648
10,1,2,141.333017
10,1,3,119.602009
10,2,1,136.854210
10,2,2,175.585292
10,2,3,138.310032
10,3,1,187.248567
10,3,2,117.985021
10,3,3,208.371640
10,4,1,117.394725
10,4,2,191.513353
10,4,3,198.803768
10,5,1,160.361171
10,5,2,140.288996
10,5,3,172.931130
10,6,1,131.714810
10,6,2,177.990538
10,6,3,193.259625
10,7,1,199.804309
10,7,2,153.995252
10,7,3,159.150509
10,8,1,163.819963
10,8,2,91.662319
10,8,3,186.791667
10,9,1,280.130260
10,9,2,94.965561
10,9,3,159.552909
10,10,1,164.099899
10,10,2,76.498364
10,10,3,175.911121
10,11,1,242.787200
10,11,2,138.022461
10,11,3,136.040094
10,12,1,132.593751
10,12,2,74.912175
10,12,3,183.367858
10,13,1,134.412089
10,13,2,83.384667
10,13,3,196.396450
10,14,1,171.518264
10,14,2,121.963765
10,14,3,146.231085
10,15,1,141.843085
10,15,2,142.614885
10,15,3,229.256713
10,16,1,140.482624
10,16,2,122.563129
10,16,3,212.338925
10,17,1,115.074388
10,17,2,149.216044
10,17,3,125.643895
10,18,1,110.037455
10,18,2,171.562049
10,18,3,118.104376
10,19,1,124.855869
10,19,2,129.196315
10,19,3,126.684575
10,20,1,134.344777
10,20,2,123.716966
10,20,3,190.943296
10,21,1,83.339853
10,21,2,160.196278
10,21,3,212.399714
10,22,1,182.857423
10,22,2,176.485178
10,22,3,178.687589
10,23,1,161.261434
10,23,2,140.195252
10,23,3,150.098614
10,24,1,116.139724
10,24,2,206.183357
10,24,3,188.766538
