scenario_a,t,region,DEV_ch_fa_kW
2,5,3,129.111
2,6,3,134.383
2,7,3,141.381
2,8,3,150.361
2,9,3,161.481
2,10,3,174.755
2,11,3,189.997
2,12,3,206.783
2,13,3,224.446
2,14,3,242.096
2,15,3,258.682
2,16,3,273.095
2,17,3,284.283
2,18,3,291.378
2,19,3,293.809
2,20,3,291.378
2,21,3,284.283
2,22,3,273.095
2,23,3,258.682
2,24,3,242.096
3,1,1,203.258
3,2,1,205.343
3,3,1,208.493
3,4,1,213.103
3,5,1,219.638
3,6,1,228.606
3,7,1,240.512
3,8,1,255.787
3,9,1,274.704
3,10,1,297.286
3,11,1,323.215
3,12,1,351.771
3,13,1,381.818
3,14,1,411.843
3,15,1,440.059
3,16,1,464.578
3,17,1,483.61
3,18,1,495.679
3,19,1,499.816
3,20,1,495.679
3,21,1,483.61
3,22,1,464.578
3,23,1,440.059
3,24,1,411.843
3,1,2,89.131
3,2,2,90.046
3,3,2,91.427
3,4,2,93.448
3,5,2,96.314
3,6,2,100.247
3,7,2,105.468
3,8,2,112.166
3,9,2,120.461
3,10,2,130.364
3,11,2,141.734
3,12,2,154.256
3,13,2,167.432
3,14,2,180.598
3,15,2,192.972
3,16,2,203.723
3,17,2,212.069
3,18,2,217.362
3,19,2,219.176
3,20,2,217.362
3,21,2,212.069
3,22,2,203.723
3,23,2,192.972
3,24,2,180.598
3,1,3,232.505
3,2,3,234.891
3,3,3,238.494
3,4,3,243.767
3,5,3,251.242
3,6,3,261.501
3,7,3,275.12
3,8,3,292.593
3,9,3,314.233
3,10,3,340.064
3,11,3,369.723
3,12,3,402.389
3,13,3,436.76
3,14,3,471.104
3,15,3,503.381
3,16,3,531.427
3,17,3,553.198
3,18,3,567.004
3,19,3,571.736
3,20,3,567.004
3,21,3,553.198
3,22,3,531.427
3,23,3,503.381
3,24,3,471.104
4,1,1,211.862
4,2,1,214.036
4,3,1,217.319
4,4,1,222.123
4,5,1,228.935
4,6,1,238.283
4,7,1,250.693
4,8,1,266.615
4,9,1,286.333
4,10,1,309.871
4,11,1,336.897
4,12,1,366.662
4,13,1,397.981
4,14,1,429.277
4,15,1,458.687
4,16,1,484.244
4,17,1,504.081
4,18,1,516.662
4,19,1,520.974
4,20,1,516.662
4,21,1,504.081
4,22,1,484.244
4,23,1,458.687
4,24,1,429.277
4,1,2,259.929
4,2,2,262.596
4,3,2,266.624
4,4,2,272.519
4,5,2,280.876
4,6,2,292.345
4,7,2,307.571
4,8,2,327.104
4,9,2,351.296
4,10,2,380.174
4,11,2,413.332
4,12,2,449.85
4,13,2,488.276
4,14,2,526.671
4,15,2,562.755
4,16,2,594.11
4,17,2,618.448
4,18,2,633.883
4,19,2,639.173
4,20,2,633.883
4,21,2,618.448
4,22,2,594.11
4,23,2,562.755
4,24,2,526.671
4,1,3,260.218
4,2,3,262.888
4,3,3,266.92
4,4,3,272.822
4,5,3,281.188
4,6,3,292.67
4,7,3,307.912
4,8,3,327.468
4,9,3,351.687
4,10,3,380.597
4,11,3,413.791
4,12,3,450.35
4,13,3,488.818
4,14,3,527.256
4,15,3,563.38
4,16,3,594.77
4,17,3,619.135
4,18,3,634.587
4,19,3,639.883
4,20,3,634.587
4,21,3,619.135
4,22,3,594.77
4,23,3,563.38
4,24,3,527.256
5,1,1,141.985
5,2,1,143.442
5,3,1,145.642
5,4,1,148.862
5,5,1,153.427
5,6,1,159.692
5,7,1,168.009
5,8,1,178.679
5,9,1,191.894
5,10,1,207.668
5,11,1,225.78
5,12,1,245.728
5,13,1,266.718
5,14,1,287.691
5,15,1,307.401
5,16,1,324.529
5,17,1,337.824
5,18,1,346.255
5,19,1,349.144
5,20,1,346.255
5,21,1,337.824
5,22,1,324.529
5,23,1,307.401
5,24,1,287.691
5,1,2,260.036
5,2,2,262.704
5,3,2,266.734
5,4,2,272.631
5,5,2,280.992
5,6,2,292.465
5,7,2,307.697
5,8,2,327.239
5,9,2,351.441
5,10,2,380.331
5,11,2,413.502
5,12,2,450.035
5,13,2,488.476
5,14,2,526.888
5,15,2,562.986
5,16,2,594.354
5,17,2,618.702
5,18,2,634.143
5,19,2,639.435
5,20,2,634.143
5,21,2,618.702
5,22,2,594.354
5,23,2,562.986
5,24,2,526.888
5,1,3,192.066
5,2,3,194.037
5,3,3,197.013
5,4,3,201.369
5,5,3,207.544
5,6,3,216.019
5,7,3,227.269
5,8,3,241.703
5,9,3,259.579
5,10,3,280.917
5,11,3,305.418
5,12,3,332.402
5,13,3,360.795
5,14,3,389.166
5,15,3,415.829
5,16,3,438.998
5,17,3,456.982
5,18,3,468.387
5,19,3,472.296
5,20,3,468.387
5,21,3,456.982
5,22,3,438.998
5,23,3,415.829
5,24,3,389.166
6,1,1,203.361
6,2,1,205.448
6,3,1,208.599
6,4,1,213.211
6,5,1,219.749
6,6,1,228.722
6,7,1,240.634
6,8,1,255.917
6,9,1,274.844
6,10,1,297.437
6,11,1,323.379
6,12,1,351.95
6,13,1,382.012
6,14,1,412.052
6,15,1,440.283
6,16,1,464.814
6,17,1,483.855
6,18,1,495.931
6,19,1,500.07
6,20,1,495.931
6,21,1,483.855
6,22,1,464.814
6,23,1,440.283
6,24,1,412.052
6,1,2,239.886
6,2,2,242.347
6,3,2,246.064
6,4,2,251.504
6,5,2,259.217
6,6,2,269.802
6,7,2,283.853
6,8,2,301.881
6,9,2,324.207
6,10,2,350.858
6,11,2,381.459
6,12,2,415.161
6,13,2,450.623
6,14,2,486.058
6,15,2,519.359
6,16,2,548.296
6,17,2,570.758
6,18,2,585.003
6,19,2,589.884
6,20,2,585.003
6,21,2,570.758
6,22,2,548.296
6,23,2,519.359
6,24,2,486.058
6,1,3,148.995
6,2,3,150.523
6,3,3,152.832
6,4,3,156.211
6,5,3,161.002
6,6,3,167.576
6,7,3,176.303
6,8,3,187.5
6,9,3,201.367
6,10,3,217.921
6,11,3,236.927
6,12,3,257.86
6,13,3,279.886
6,14,3,301.894
6,15,3,322.578
6,16,3,340.551
6,17,3,354.502
6,18,3,363.35
6,19,3,366.382
6,20,3,363.35
6,21,3,354.502
6,22,3,340.551
6,23,3,322.578
6,24,3,301.894
7,1,1,92.68
7,2,1,93.631
7,3,1,95.067
7,4,1,97.169
7,5,1,100.149
7,6,1,104.238
7,7,1,109.667
7,8,1,116.632
7,9,1,125.258
7,10,1,135.554
7,11,1,147.377
7,12,1,160.398
7,13,1,174.099
7,14,1,187.789
7,15,1,200.655
7,16,1,211.835
7,17,1,220.513
7,18,1,226.016
7,19,1,227.902
7,20,1,226.016
7,21,1,220.513
7,22,1,211.835
7,23,1,200.655
7,24,1,187.789
7,1,2,180.262
7,2,2,182.112
7,3,2,184.905
7,4,2,188.993
7,5,2,194.789
7,6,2,202.743
7,7,2,213.302
7,8,2,226.849
7,9,2,243.626
7,10,2,263.653
7,11,2,286.648
7,12,2,311.974
7,13,2,338.622
7,14,2,365.249
7,15,2,390.273
7,16,2,412.018
7,17,2,428.897
7,18,2,439.601
7,19,2,443.27
7,20,2,439.601
7,21,2,428.897
7,22,2,412.018
7,23,2,390.273
7,24,2,365.249
7,1,3,137.904
7,2,3,139.319
7,3,3,141.456
7,4,3,144.584
7,5,3,149.018
7,6,3,155.102
7,7,3,163.18
7,8,3,173.544
7,9,3,186.379
7,10,3,201.7
7,11,3,219.291
7,12,3,238.666
7,13,3,259.052
7,14,3,279.423
7,15,3,298.567
7,16,3,315.202
7,17,3,328.115
7,18,3,336.304
7,19,3,339.11
7,20,3,336.304
7,21,3,328.115
7,22,3,315.202
7,23,3,298.567
7,24,3,279.423
8,1,1,162.727
8,2,1,164.397
8,3,1,166.918
8,4,1,170.609
8,5,1,175.841
8,6,1,183.021
8,7,1,192.553
8,8,1,204.782
8,9,1,219.927
8,10,1,238.006
8,11,1,258.764
8,12,1,281.626
8,13,1,305.682
8,14,1,329.719
8,15,1,352.309
8,16,1,371.939
8,17,1,387.176
8,18,1,396.839
8,19,1,400.15
8,20,1,396.839
8,21,1,387.176
8,22,1,371.939
8,23,1,352.309
8,24,1,329.719
8,1,2,172.019
8,2,2,173.784
8,3,2,176.45
8,4,2,180.351
8,5,2,185.882
8,6,2,193.472
8,7,2,203.548
8,8,2,216.475
8,9,2,232.485
8,10,2,251.596
8,11,2,273.54
8,12,2,297.707
8,13,2,323.137
8,14,2,348.547
8,15,2,372.426
8,16,2,393.177
8,17,2,409.284
8,18,2,419.499
8,19,2,422.999
8,20,2,419.499
8,21,2,409.284
8,22,2,393.177
8,23,2,372.426
8,24,2,348.547
8,1,3,210.044
8,2,3,212.2
8,3,3,215.454
8,4,3,220.218
8,5,3,226.971
8,6,3,236.239
8,7,3,248.543
8,8,3,264.327
8,9,3,283.877
8,10,3,307.212
8,11,3,334.007
8,12,3,363.516
8,13,3,394.567
8,14,3,425.594
8,15,3,454.752
8,16,3,480.09
8,17,3,499.757
8,18,3,512.23
8,19,3,516.504
8,20,3,512.23
8,21,3,499.757
8,22,3,480.09
8,23,3,454.752
8,24,3,425.594
9,1,1,249.143
9,2,1,251.699
9,3,1,255.56
9,4,1,261.21
9,5,1,269.22
9,6,1,280.213
9,7,1,294.807
9,8,1,313.53
9,9,1,336.718
9,10,1,364.398
9,11,1,396.179
9,12,1,431.182
9,13,1,468.013
9,14,1,504.815
9,15,1,539.401
9,16,1,569.455
9,17,1,592.783
9,18,1,607.578
9,19,1,612.648
9,20,1,607.578
9,21,1,592.783
9,22,1,569.455
9,23,1,539.401
9,24,1,504.815
9,1,2,238.649
9,2,2,241.097
9,3,2,244.795
9,4,2,250.208
9,5,2,257.881
9,6,2,268.411
9,7,2,282.39
9,8,2,300.324
9,9,2,322.536
9,10,2,349.049
9,11,2,379.492
9,12,2,413.021
9,13,2,448.3
9,14,2,483.552
9,15,2,516.682
9,16,2,545.47
9,17,2,567.815
9,18,2,581.987
9,19,2,586.843
9,20,2,581.987
9,21,2,567.815
9,22,2,545.47
9,23,2,516.682
9,24,2,483.552
9,1,3,174.057
9,2,3,175.843
9,3,3,178.54
9,4,3,182.488
9,5,3,188.084
9,6,3,195.764
9,7,3,205.96
9,8,3,219.04
9,9,3,235.24
9,10,3,254.578
9,11,3,276.781
9,12,3,301.235
9,13,3,326.966
9,14,3,352.677
9,15,3,376.84
9,16,3,397.836
9,17,3,414.134
9,18,3,424.469
9,19,3,428.012
9,20,3,424.469
9,21,3,414.134
9,22,3,397.836
9,23,3,376.84
9,24,3,352.677
10,1,1,90.606
10,2,1,91.536
10,3,1,92.94
10,4,1,94.995
10,5,1,97.908
10,6,1,101.906
10,7,1,107.213
10,8,1,114.022
10,9,1,122.455
10,10,1,132.522
10,11,1,144.08
10,12,1,156.809
10,13,1,170.204
10,14,1,183.588
10,15,1,196.166
10,16,1,207.095
10,17,1,215.579
10,18,1,220.96
10,19,1,222.804
10,20,1,220.96
10,21,1,215.579
10,22,1,207.095
10,23,1,196.166
10,24,1,183.588
10,1,2,211.465
10,2,2,213.635
10,3,2,216.911
10,4,2,221.707
10,5,2,228.506
10,6,2,237.837
10,7,2,250.223
10,8,2,266.115
10,9,2,285.796
10,10,2,309.29
10,11,2,336.265
10,12,2,365.975
10,13,2,397.235
10,14,2,428.472
10,15,2,457.828
10,16,2,483.336
10,17,2,503.137
10,18,2,515.694
10,19,2,519.997
10,20,2,515.694
10,21,2,503.137
10,22,2,483.336
10,23,2,457.828
10,24,2,428.472
10,1,3,173.633
10,2,3,175.414
10,3,3,178.105
10,4,3,182.042
10,5,3,187.625
10,6,3,195.286
10,7,3,205.457
10,8,3,218.505
10,9,3,234.666
10,10,3,253.956
10,11,3,276.105
10,12,3,300.5
10,13,3,326.168
10,14,3,351.816
10,15,3,375.92
10,16,3,396.865
10,17,3,413.122
10,18,3,423.433
10,19,3,426.967
10,20,3,423.433
10,21,3,413.122
10,22,3,396.865
10,23,3,375.92
10,24,3,351.816
