scenario_b,ts,bus,P_kW
2,1,12,24.734
2,1,13,24.734
2,1,14,49.467
2,1,15,24.734
2,1,16,24.734
2,1,17,24.734
2,1,18,37.101
2,1,19,37.101
2,1,20,37.101
2,1,21,37.101
2,1,22,37.101
2,1,23,37.101
2,1,24,173.136
2,1,25,173.136
2,1,26,24.734
2,1,27,24.734
2,1,28,24.734
2,1,29,49.467
2,1,30,82.446
2,1,31,61.834
2,1,32,86.568
2,1,33,24.734
2,2,2,44.818
2,2,3,40.336
2,2,4,53.782
2,2,5,26.891
2,2,6,26.891
2,2,7,89.636
2,2,8,89.636
2,2,9,26.891
2,2,10,26.891
2,2,11,20.168
2,2,12,26.891
2,2,13,26.891
2,2,14,53.782
2,2,15,26.891
2,2,16,26.891
2,2,17,26.891
2,2,18,40.336
2,2,19,40.336
2,2,20,40.336
2,2,21,40.336
2,2,22,40.336
2,2,23,40.336
2,2,24,188.236
2,2,25,188.236
2,2,26,26.891
2,2,27,26.891
2,2,28,26.891
2,2,29,53.782
2,2,30,89.636
2,2,31,67.227
2,2,32,94.118
2,2,33,26.891
2,3,2,48.778
2,3,3,43.9
2,3,4,58.533
2,3,5,29.267
2,3,6,29.267
2,3,7,97.556
2,3,8,97.556
2,3,9,29.267
2,3,10,29.267
2,3,11,21.95
2,3,12,29.267
2,3,13,29.267
2,3,14,58.533
2,3,15,29.267
2,3,16,29.267
2,3,17,29.267
2,3,18,43.9
2,3,19,43.9
2,3,20,43.9
2,3,21,43.9
2,3,22,43.9
2,3,23,43.9
2,3,24,204.867
2,3,25,204.867
2,3,26,29.267
2,3,27,29.267
2,3,28,29.267
2,3,29,58.533
2,3,30,97.556
2,3,31,73.167
2,3,32,102.434
2,3,33,29.267
2,4,2,52.944
2,4,3,47.65
2,4,4,63.533
2,4,5,31.767
2,4,6,31.767
2,4,7,105.889
2,4,8,105.889
2,4,9,31.767
2,4,10,31.767
2,4,11,23.825
2,4,12,31.767
2,4,13,31.767
2,4,14,63.533
2,4,15,31.767
2,4,16,31.767
2,4,17,31.767
2,4,18,47.65
2,4,19,47.65
2,4,20,47.65
2,4,21,47.65
2,4,22,47.65
2,4,23,47.65
2,4,24,222.366
2,4,25,222.366
2,4,26,31.767
2,4,27,31.767
2,4,28,31.767
2,4,29,63.533
2,4,30,105.889
2,4,31,79.417
2,4,32,111.183
2,4,33,31.767
3,1,2,44.699
3,1,3,40.229
3,1,4,53.639
3,1,5,26.82
3,1,6,26.82
3,1,7,89.399
3,1,8,89.399
3,1,9,26.82
3,1,10,26.82
3,1,11,20.115
3,1,12,26.82
3,1,13,26.82
3,1,14,53.639
3,1,15,26.82
3,1,16,26.82
3,1,17,26.82
3,1,18,40.229
3,1,19,40.229
3,1,20,40.229
3,1,21,40.229
3,1,22,40.229
3,1,23,40.229
3,1,24,187.737
3,1,25,187.737
3,1,26,26.82
3,1,27,26.82
3,1,28,26.82
3,1,29,53.639
3,1,30,89.399
3,1,31,67.049
3,1,32,93.869
3,1,33,26.82
3,2,2,48.598
3,2,3,43.738
3,2,4,58.318
3,2,5,29.159
3,2,6,29.159
3,2,7,97.196
3,2,8,97.196
3,2,9,29.159
3,2,10,29.159
3,2,11,21.869
3,2,12,29.159
3,2,13,29.159
3,2,14,58.318
3,2,15,29.159
3,2,16,29.159
3,2,17,29.159
3,2,18,43.738
3,2,19,43.738
3,2,20,43.738
3,2,21,43.738
3,2,22,43.738
3,2,23,43.738
3,2,24,204.111
3,2,25,204.111
3,2,26,29.159
3,2,27,29.159
3,2,28,29.159
3,2,29,58.318
3,2,30,97.196
3,2,31,72.897
3,2,32,102.056
3,2,33,29.159
3,3,2,52.892
3,3,3,47.602
3,3,4,63.47
3,3,5,31.735
3,3,6,31.735
3,3,7,105.783
3,3,8,105.783
3,3,9,31.735
3,3,10,31.735
3,3,11,23.801
3,3,12,31.735
3,3,13,31.735
3,3,14,63.47
3,3,15,31.735
3,3,16,31.735
3,3,17,31.735
3,3,18,47.602
3,3,19,47.602
3,3,20,47.602
3,3,21,47.602
3,3,22,47.602
3,3,23,47.602
3,3,24,222.145
3,3,25,222.145
3,3,26,31.735
3,3,27,31.735
3,3,28,31.735
3,3,29,63.47
3,3,30,105.783
3,3,31,79.337
3,3,32,111.072
3,3,33,31.735
3,4,2,57.41
3,4,3,51.669
3,4,4,68.891
3,4,5,34.446
3,4,6,34.446
3,4,7,114.819
3,4,8,114.819
3,4,9,34.446
3,4,10,34.446
3,4,11,25.834
3,4,12,34.446
3,4,13,34.446
3,4,14,68.891
3,4,15,34.446
3,4,16,34.446
3,4,17,34.446
3,4,18,51.669
3,4,19,51.669
3,4,20,51.669
3,4,21,51.669
3,4,22,51.669
3,4,23,51.669
3,4,24,241.12
3,4,25,241.12
3,4,26,34.446
3,4,27,34.446
3,4,28,34.446
3,4,29,68.891
3,4,30,114.819
3,4,31,86.114
3,4,32,120.56
3,4,33,34.446
4,1,2,42.402
4,1,3,38.162
4,1,4,50.883
4,1,5,25.441
4,1,6,25.441
4,1,7,84.805
4,1,8,84.805
4,1,9,25.441
4,1,10,25.441
4,1,11,19.081
4,1,12,25.441
4,1,13,25.441
4,1,14,50.883
4,1,15,25.441
4,1,16,25.441
4,1,17,25.441
4,1,18,38.162
4,1,19,38.162
4,1,20,38.162
4,1,21,38.162
4,1,22,38.162
4,1,23,38.162
4,1,24,178.09
4,1,25,178.09
4,1,26,25.441
4,1,27,25.441
4,1,28,25.441
4,1,29,50.883
4,1,30,84.805
4,1,31,63.604
4,1,32,89.045
4,1,33,25.441
4,2,2,46.101
4,2,3,41.491
4,2,4,55.321
4,2,5,27.66
4,2,6,27.66
4,2,7,92.201
4,2,8,92.201
4,2,9,27.66
4,2,10,27.66
4,2,11,20.745
4,2,12,27.66
4,2,13,27.66
4,2,14,55.321
4,2,15,27.66
4,2,16,27.66
4,2,17,27.66
4,2,18,41.491
4,2,19,41.491
4,2,20,41.491
4,2,21,41.491
4,2,22,41.491
4,2,23,41.491
4,2,24,193.622
4,2,25,193.622
4,2,26,27.66
4,2,27,27.66
4,2,28,27.66
4,2,29,55.321
4,2,30,92.201
4,2,31,69.151
4,2,32,96.811
4,2,33,27.66
4,3,2,50.174
4,3,3,45.156
4,3,4,60.208
4,3,5,30.104
4,3,6,30.104
4,3,7,100.347
4,3,8,100.347
4,3,9,30.104
4,3,10,30.104
4,3,11,22.578
4,3,12,30.104
4,3,13,30.104
4,3,14,60.208
4,3,15,30.104
4,3,16,30.104
4,3,17,30.104
4,3,18,45.156
4,3,19,45.156
4,3,20,45.156
4,3,21,45.156
4,3,22,45.156
4,3,23,45.156
4,3,24,210.729
4,3,25,210.729
4,3,26,30.104
4,3,27,30.104
4,3,28,30.104
4,3,29,60.208
4,3,30,100.347
4,3,31,75.26
4,3,32,105.365
4,3,33,30.104
4,4,2,54.459
4,4,3,49.013
4,4,4,65.351
4,4,5,32.676
4,4,6,32.676
4,4,7,108.919
4,4,8,108.919
4,4,9,32.676
4,4,10,32.676
4,4,11,24.507
4,4,12,32.676
4,4,13,32.676
4,4,14,65.351
4,4,15,32.676
4,4,16,32.676
4,4,17,32.676
4,4,18,49.013
4,4,19,49.013
4,4,20,49.013
4,4,21,49.013
4,4,22,49.013
4,4,23,49.013
4,4,24,228.729
4,4,25,228.729
4,4,26,32.676
4,4,27,32.676
4,4,28,32.676
4,4,29,65.351
4,4,30,108.919
4,4,31,81.689
4,4,32,114.365
4,4,33,32.676
5,1,2,43.927
5,1,3,39.535
5,1,4,52.713
5,1,5,26.356
5,1,6,26.356
5,1,7,87.855
5,1,8,87.855
5,1,9,26.356
5,1,10,26.356
5,1,11,19.767
5,1,12,26.356
5,1,13,26.356
5,1,14,52.713
5,1,15,26.356
5,1,16,26.356
5,1,17,26.356
5,1,18,39.535
5,1,19,39.535
5,1,20,39.535
5,1,21,39.535
5,1,22,39.535
5,1,23,39.535
5,1,24,184.495
5,1,25,184.495
5,1,26,26.356
5,1,27,26.356
5,1,28,26.356
5,1,29,52.713
5,1,30,87.855
5,1,31,65.891
5,1,32,92.247
5,1,33,26.356
5,2,2,47.759
5,2,3,42.983
5,2,4,57.31
5,2,5,28.655
5,2,6,28.655
5,2,7,95.517
5,2,8,95.517
5,2,9,28.655
5,2,10,28.655
5,2,11,21.491
5,2,12,28.655
5,2,13,28.655
5,2,14,57.31
5,2,15,28.655
5,2,16,28.655
5,2,17,28.655
5,2,18,42.983
5,2,19,42.983
5,2,20,42.983
5,2,21,42.983
5,2,22,42.983
5,2,23,42.983
5,2,24,200.586
5,2,25,200.586
5,2,26,28.655
5,2,27,28.655
5,2,28,28.655
5,2,29,57.31
5,2,30,95.517
5,2,31,71.638
5,2,32,100.293
5,2,33,28.655
5,3,2,51.978
5,3,3,46.78
5,3,4,62.374
5,3,5,31.187
5,3,6,31.187
5,3,7,103.956
5,3,8,103.956
5,3,9,31.187
5,3,10,31.187
5,3,11,23.39
5,3,12,31.187
5,3,13,31.187
5,3,14,62.374
5,3,15,31.187
5,3,16,31.187
5,3,17,31.187
5,3,18,46.78
5,3,19,46.78
5,3,20,46.78
5,3,21,46.78
5,3,22,46.78
5,3,23,46.78
5,3,24,218.308
5,3,25,218.308
5,3,26,31.187
5,3,27,31.187
5,3,28,31.187
5,3,29,62.374
5,3,30,103.956
5,3,31,77.967
5,3,32,109.154
5,3,33,31.187
5,4,2,56.418
5,4,3,50.776
5,4,4,67.702
5,4,5,33.851
5,4,6,33.851
5,4,7,112.836
5,4,8,112.836
5,4,9,33.851
5,4,10,33.851
5,4,11,25.388
5,4,12,33.851
5,4,13,33.851
5,4,14,67.702
5,4,15,33.851
5,4,16,33.851
5,4,17,33.851
5,4,18,50.776
5,4,19,50.776
5,4,20,50.776
5,4,21,50.776
5,4,22,50.776
5,4,23,50.776
5,4,24,236.955
5,4,25,236.955
5,4,26,33.851
5,4,27,33.851
5,4,28,33.851
5,4,29,67.702
5,4,30,112.836
5,4,31,84.627
5,4,32,118.478
5,4,33,33.851
6,1,2,43.207
6,1,3,38.886
6,1,4,51.848
6,1,5,25.924
6,1,6,25.924
6,1,7,86.414
6,1,8,86.414
6,1,9,25.924
6,1,10,25.924
6,1,11,19.443
6,1,12,25.924
6,1,13,25.924
6,1,14,51.848
6,1,15,25.924
6,1,16,25.924
6,1,17,25.924
6,1,18,38.886
6,1,19,38.886
6,1,20,38.886
6,1,21,38.886
6,1,22,38.886
6,1,23,38.886
6,1,24,181.469
6,1,25,181.469
6,1,26,25.924
6,1,27,25.924
6,1,28,25.924
6,1,29,51.848
6,1,30,86.414
6,1,31,64.81
6,1,32,90.734
6,1,33,25.924
6,2,2,46.975
6,2,3,42.278
6,2,4,56.37
6,2,5,28.185
6,2,6,28.185
6,2,7,93.95
6,2,8,93.95
6,2,9,28.185
6,2,10,28.185
6,2,11,21.139
6,2,12,28.185
6,2,13,28.185
6,2,14,56.37
6,2,15,28.185
6,2,16,28.185
6,2,17,28.185
6,2,18,42.278
6,2,19,42.278
6,2,20,42.278
6,2,21,42.278
6,2,22,42.278
6,2,23,42.278
6,2,24,197.296
6,2,25,197.296
6,2,26,28.185
6,2,27,28.185
6,2,28,28.185
6,2,29,56.37
6,2,30,93.95
6,2,31,70.463
6,2,32,98.648
6,2,33,28.185
6,3,2,51.126
6,3,3,46.013
6,3,4,61.351
6,3,5,30.675
6,3,6,30.675
6,3,7,102.251
6,3,8,102.251
6,3,9,30.675
6,3,10,30.675
6,3,11,23.006
6,3,12,30.675
6,3,13,30.675
6,3,14,61.351
6,3,15,30.675
6,3,16,30.675
6,3,17,30.675
6,3,18,46.013
6,3,19,46.013
6,3,20,46.013
6,3,21,46.013
6,3,22,46.013
6,3,23,46.013
6,3,24,214.727
6,3,25,214.727
6,3,26,30.675
6,3,27,30.675
6,3,28,30.675
6,3,29,61.351
6,3,30,102.251
6,3,31,76.688
6,3,32,107.364
6,3,33,30.675
6,4,2,55.493
6,4,3,49.943
6,4,4,66.591
6,4,5,33.296
6,4,6,33.296
6,4,7,110.985
6,4,8,110.985
6,4,9,33.296
6,4,10,33.296
6,4,11,24.972
6,4,12,33.296
6,4,13,33.296
6,4,14,66.591
6,4,15,33.296
6,4,16,33.296
6,4,17,33.296
6,4,18,49.943
6,4,19,49.943
6,4,20,49.943
6,4,21,49.943
6,4,22,49.943
6,4,23,49.943
6,4,24,233.069
6,4,25,233.069
6,4,26,33.296
6,4,27,33.296
6,4,28,33.296
6,4,29,66.591
6,4,30,110.985
6,4,31,83.239
6,4,32,116.534
6,4,33,33.296
7,1,2,40.659
7,1,3,36.593
7,1,4,48.79
7,1,5,24.395
7,1,6,24.395
7,1,7,81.317
7,1,8,81.317
7,1,9,24.395
7,1,10,24.395
7,1,11,18.296
7,1,12,24.395
7,1,13,24.395
7,1,14,48.79
7,1,15,24.395
7,1,16,24.395
7,1,17,24.395
7,1,18,36.593
7,1,19,36.593
7,1,20,36.593
7,1,21,36.593
7,1,22,36.593
7,1,23,36.593
7,1,24,170.766
7,1,25,170.766
7,1,26,24.395
7,1,27,24.395
7,1,28,24.395
7,1,29,48.79
7,1,30,81.317
7,1,31,60.988
7,1,32,85.383
7,1,33,24.395
7,2,2,44.205
7,2,3,39.784
7,2,4,53.046
7,2,5,26.523
7,2,6,26.523
7,2,7,88.41
7,2,8,88.41
7,2,9,26.523
7,2,10,26.523
7,2,11,19.892
7,2,12,26.523
7,2,13,26.523
7,2,14,53.046
7,2,15,26.523
7,2,16,26.523
7,2,17,26.523
7,2,18,39.784
7,2,19,39.784
7,2,20,39.784
7,2,21,39.784
7,2,22,39.784
7,2,23,39.784
7,2,24,185.66
7,2,25,185.66
7,2,26,26.523
7,2,27,26.523
7,2,28,26.523
7,2,29,53.046
7,2,30,88.41
7,2,31,66.307
7,2,32,92.83
7,2,33,26.523
7,3,2,48.11
7,3,3,43.299
7,3,4,57.732
7,3,5,28.866
7,3,6,28.866
7,3,7,96.221
7,3,8,96.221
7,3,9,28.866
7,3,10,28.866
7,3,11,21.65
7,3,12,28.866
7,3,13,28.866
7,3,14,57.732
7,3,15,28.866
7,3,16,28.866
7,3,17,28.866
7,3,18,43.299
7,3,19,43.299
7,3,20,43.299
7,3,21,43.299
7,3,22,43.299
7,3,23,43.299
7,3,24,202.063
7,3,25,202.063
7,3,26,28.866
7,3,27,28.866
7,3,28,28.866
7,3,29,57.732
7,3,30,96.221
7,3,31,72.166
7,3,32,101.032
7,3,33,28.866
7,4,2,52.22
7,4,3,46.998
7,4,4,62.664
7,4,5,31.332
7,4,6,31.332
7,4,7,104.44
7,4,8,104.44
7,4,9,31.332
7,4,10,31.332
7,4,11,23.499
7,4,12,31.332
7,4,13,31.332
7,4,14,62.664
7,4,15,31.332
7,4,16,31.332
7,4,17,31.332
7,4,18,46.998
7,4,19,46.998
7,4,20,46.998
7,4,21,46.998
7,4,22,46.998
7,4,23,46.998
7,4,24,219.323
7,4,25,219.323
7,4,26,31.332
7,4,27,31.332
7,4,28,31.332
7,4,29,62.664
7,4,30,104.44
7,4,31,78.33
7,4,32,109.662
7,4,33,31.332
8,1,2,43.133
8,1,3,38.82
8,1,4,51.76
8,1,5,25.88
8,1,6,25.88
8,1,7,86.266
8,1,8,86.266
8,1,9,25.88
8,1,10,25.88
8,1,11,19.41
8,1,12,25.88
8,1,13,25.88
8,1,14,51.76
8,1,15,25.88
8,1,16,25.88
8,1,17,25.88
8,1,18,38.82
8,1,19,38.82
8,1,20,38.82
8,1,21,38.82
8,1,22,38.82
8,1,23,38.82
8,1,24,181.159
8,1,25,181.159
8,1,26,25.88
8,1,27,25.88
8,1,28,25.88
8,1,29,51.76
8,1,30,86.266
8,1,31,64.7
8,1,32,90.579
8,1,33,25.88
8,2,2,46.895
8,2,3,42.205
8,2,4,56.274
8,2,5,28.137
8,2,6,28.137
8,2,7,93.79
8,2,8,93.79
8,2,9,28.137
8,2,10,28.137
8,2,11,21.103
8,2,12,28.137
8,2,13,28.137
8,2,14,56.274
8,2,15,28.137
8,2,16,28.137
8,2,17,28.137
8,2,18,42.205
8,2,19,42.205
8,2,20,42.205
8,2,21,42.205
8,2,22,42.205
8,2,23,42.205
8,2,24,196.959
8,2,25,196.959
8,2,26,28.137
8,2,27,28.137
8,2,28,28.137
8,2,29,56.274
8,2,30,93.79
8,2,31,70.342
8,2,32,98.479
8,2,33,28.137
8,3,2,51.038
8,3,3,45.934
8,3,4,61.246
8,3,5,30.623
8,3,6,30.623
8,3,7,102.076
8,3,8,102.076
8,3,9,30.623
8,3,10,30.623
8,3,11,22.967
8,3,12,30.623
8,3,13,30.623
8,3,14,61.246
8,3,15,30.623
8,3,16,30.623
8,3,17,30.623
8,3,18,45.934
8,3,19,45.934
8,3,20,45.934
8,3,21,45.934
8,3,22,45.934
8,3,23,45.934
8,3,24,214.36
8,3,25,214.36
8,3,26,30.623
8,3,27,30.623
8,3,28,30.623
8,3,29,61.246
8,3,30,102.076
8,3,31,76.557
8,3,32,107.18
8,3,33,30.623
8,4,2,55.398
8,4,3,49.858
8,4,4,66.477
8,4,5,33.239
8,4,6,33.239
8,4,7,110.796
8,4,8,110.796
8,4,9,33.239
8,4,10,33.239
8,4,11,24.929
8,4,12,33.239
8,4,13,33.239
8,4,14,66.477
8,4,15,33.239
8,4,16,33.239
8,4,17,33.239
8,4,18,49.858
8,4,19,49.858
8,4,20,49.858
8,4,21,49.858
8,4,22,49.858
8,4,23,49.858
8,4,24,232.671
8,4,25,232.671
8,4,26,33.239
8,4,27,33.239
8,4,28,33.239
8,4,29,66.477
8,4,30,110.796
8,4,31,83.097
8,4,32,116.335
8,4,33,33.239
9,1,2,41.33
9,1,3,37.197
9,1,4,49.596
9,1,5,24.798
9,1,6,24.798
9,1,7,82.661
9,1,8,82.661
9,1,9,24.798
9,1,10,24.798
9,1,11,18.599
9,1,12,24.798
9,1,13,24.798
9,1,14,49.596
9,1,15,24.798
9,1,16,24.798
9,1,17,24.798
9,1,18,37.197
9,1,19,37.197
9,1,20,37.197
9,1,21,37.197
9,1,22,37.197
9,1,23,37.197
9,1,24,173.587
9,1,25,173.587
9,1,26,24.798
9,1,27,24.798
9,1,28,24.798
9,1,29,49.596
9,1,30,82.661
9,1,31,61.995
9,1,32,86.794
9,1,33,24.798
9,2,2,44.935
9,2,3,40.442
9,2,4,53.922
9,2,5,26.961
9,2,6,26.961
9,2,7,89.87
9,2,8,89.87
9,2,9,26.961
9,2,10,26.961
9,2,11,20.221
9,2,12,26.961
9,2,13,26.961
9,2,14,53.922
9,2,15,26.961
9,2,16,26.961
9,2,17,26.961
9,2,18,40.442
9,2,19,40.442
9,2,20,40.442
9,2,21,40.442
9,2,22,40.442
9,2,23,40.442
9,2,24,188.727
9,2,25,188.727
9,2,26,26.961
9,2,27,26.961
9,2,28,26.961
9,2,29,53.922
9,2,30,89.87
9,2,31,67.403
9,2,32,94.364
9,2,33,26.961
9,3,2,48.905
9,3,3,44.015
9,3,4,58.686
9,3,5,29.343
9,3,6,29.343
9,3,7,97.81
9,3,8,97.81
9,3,9,29.343
9,3,10,29.343
9,3,11,22.007
9,3,12,29.343
9,3,13,29.343
9,3,14,58.686
9,3,15,29.343
9,3,16,29.343
9,3,17,29.343
9,3,18,44.015
9,3,19,44.015
9,3,20,44.015
9,3,21,44.015
9,3,22,44.015
9,3,23,44.015
9,3,24,205.401
9,3,25,205.401
9,3,26,29.343
9,3,27,29.343
9,3,28,29.343
9,3,29,58.686
9,3,30,97.81
9,3,31,73.358
9,3,32,102.701
9,3,33,29.343
9,4,2,53.082
9,4,3,47.774
9,4,4,63.699
9,4,5,31.849
9,4,6,31.849
9,4,7,106.165
9,4,8,106.165
9,4,9,31.849
9,4,10,31.849
9,4,11,23.887
9,4,12,31.849
9,4,13,31.849
9,4,14,63.699
9,4,15,31.849
9,4,16,31.849
9,4,17,31.849
9,4,18,47.774
9,4,19,47.774
9,4,20,47.774
9,4,21,47.774
9,4,22,47.774
9,4,23,47.774
9,4,24,222.946
9,4,25,222.946
9,4,26,31.849
9,4,27,31.849
9,4,28,31.849
9,4,29,63.699
9,4,30,106.165
9,4,31,79.624
9,4,32,111.473
9,4,33,31.849
10,1,2,41.318
10,1,3,37.186
10,1,4,49.582
10,1,5,24.791
10,1,6,24.791
10,1,7,82.636
10,1,8,82.636
10,1,9,24.791
10,1,10,24.791
10,1,11,18.593
10,1,12,24.791
10,1,13,24.791
10,1,14,49.582
10,1,15,24.791
10,1,16,24.791
10,1,17,24.791
10,1,18,37.186
10,1,19,37.186
10,1,20,37.186
10,1,21,37.186
10,1,22,37.186
10,1,23,37.186
10,1,24,173.536
10,1,25,173.536
10,1,26,24.791
10,1,27,24.791
10,1,28,24.791
10,1,29,49.582
10,1,30,82.636
10,1,31,61.977
10,1,32,86.768
10,1,33,24.791
10,2,2,44.922
10,2,3,40.43
10,2,4,53.906
10,2,5,26.953
10,2,6,26.953
10,2,7,89.844
10,2,8,89.844
10,2,9,26.953
10,2,10,26.953
10,2,11,20.215
10,2,12,26.953
10,2,13,26.953
10,2,14,53.906
10,2,15,26.953
10,2,16,26.953
10,2,17,26.953
10,2,18,40.43
10,2,19,40.43
10,2,20,40.43
10,2,21,40.43
10,2,22,40.43
10,2,23,40.43
10,2,24,188.671
10,2,25,188.671
10,2,26,26.953
10,2,27,26.953
10,2,28,26.953
10,2,29,53.906
10,2,30,89.844
10,2,31,67.383
10,2,32,94.336
10,2,33,26.953
10,3,2,48.891
10,3,3,44.002
10,3,4,58.669
10,3,5,29.334
10,3,6,29.334
10,3,7,97.781
10,3,8,97.781
10,3,9,29.334
10,3,10,29.334
10,3,11,22.001
10,3,12,29.334
10,3,13,29.334
10,3,14,58.669
10,3,15,29.334
10,3,16,29.334
10,3,17,29.334
10,3,18,44.002
10,3,19,44.002
10,3,20,44.002
10,3,21,44.002
10,3,22,44.002
10,3,23,44.002
10,3,24,205.341
10,3,25,205.341
10,3,26,29.334
10,3,27,29.334
10,3,28,29.334
10,3,29,58.669
10,3,30,97.781
10,3,31,73.336
10,3,32,102.67
10,3,33,29.334
10,4,2,53.067
10,4,3,47.76
10,4,4,63.68
10,4,5,31.84
10,4,6,31.84
10,4,7,106.134
10,4,8,106.134
10,4,9,31.84
10,4,10,31.84
10,4,11,23.88
10,4,12,31.84
10,4,13,31.84
10,4,14,63.68
10,4,15,31.84
10,4,16,31.84
10,4,17,31.84
10,4,18,47.76
10,4,19,47.76
10,4,20,47.76
10,4,21,47.76
10,4,22,47.76
10,4,23,47.76
10,4,24,222.881
10,4,25,222.881
10,4,26,31.84
10,4,27,31.84
10,4,28,31.84
10,4,29,63.68
10,4,30,106.134
10,4,31,79.6
10,4,32,111.44
10,4,33,31.84
